FILE_PATH	UNIQUE_ID	GENOME	NAME	BACKGROUND	ENRICHED_REGION	ENRICHED_MACS	COLOR	FASTQ_FILE
/storage/cylin/grail/projects/rasmc_all/riesling/bams/RASMC_ATAC_UNSTIM_REP1/	RASMC_ATAC_unstim_A	rn6	RASMC_ATAC_UNSTIM_REP1			RASMC_ATAC_unstim_A.bt2.srt.rmdup.macs14_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/ATAC/20151019_5201/RASMC_ATAC_unstim_A.PE1.fastq.gz::/storage/cylin/grail/data/rasmc/ATAC/20151019_5201/RASMC_ATAC_unstim_A.PE2.fastq.gz
/storage/cylin/grail/projects/rasmc_all/riesling/bams/RASMC_ATAC_UNSTIM_REP2/	RASMC_ATAC_unstim_B	rn6	RASMC_ATAC_UNSTIM_REP2			RASMC_ATAC_unstim_B.bt2.srt.rmdup.macs14_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/ATAC/20151019_5202/RASMC_ATAC_unstim_B.PE1.fastq.gz::/storage/cylin/grail/data/rasmc/ATAC/20151019_5202/RASMC_ATAC_unstim_B.PE2.fastq.gz
/storage/cylin/grail/projects/rasmc_all/riesling/bams/RASMC_ATAC_PDGF_2H_REP1/	RASMC_ATAC_PDGF_2H_A	rn6	RASMC_ATAC_PDGF_2H_REP1			RASMC_ATAC_PDGF_2H_A.bt2.srt.rmdup.macs14_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/ATAC/20151019_5199/RASMC_ATAC_PDGF_2H_A.PE1.fastq.gz::/storage/cylin/grail/data/rasmc/ATAC/20151019_5199/RASMC_ATAC_PDGF_2H_A.PE2.fastq.gz
/storage/cylin/grail/projects/rasmc_all/riesling/bams/RASMC_ATAC_PDGF_2H_REP2/	RASMC_ATAC_PDGF_2H_B	rn6	RASMC_ATAC_PDGF_2H_REP2			RASMC_ATAC_PDGF_2H_B.bt2.srt.rmdup.macs14_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/ATAC/20151019_5200/RASMC_ATAC_PDGF_2H_B.PE1.fastq.gz::/storage/cylin/grail/data/rasmc/ATAC/20151019_5200/RASMC_ATAC_PDGF_2H_B.PE2.fastq.gz
/storage/cylin/grail/projects/rasmc_all/riesling/bams/RASMC_ATAC_PDGF_JQ1_2H_REP1/	RASMC_ATAC_PDGF-JQ1_2H_A	rn6	RASMC_ATAC_PDGF_JQ1_2H_REP1			RASMC_ATAC_PDGF-JQ1_2H_A_merged.bt2.srt.rmdup.macs14_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/ATAC/20151020_5224/RASMC_ATAC_PDGF-JQ1_2H_A_merged.PE1.fastq.gz::/storage/cylin/grail/data/rasmc/ATAC/20151020_5224/RASMC_ATAC_PDGF-JQ1_2H_A_merged.PE2.fastq.gz
/storage/cylin/grail/projects/rasmc_all/riesling/bams/RASMC_ATAC_PDGF_JQ1_2H_REP2/	RASMC_ATAC_PDGF-JQ1_2H_B	rn6	RASMC_ATAC_PDGF_JQ1_2H_REP2			RASMC_ATAC_PDGF-JQ1_2H_B_merged.bt2.srt.rmdup.macs14_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/ATAC/20151020_5225/RASMC_ATAC_PDGF-JQ1_2H_B_merged.PE1.fastq.gz::/storage/cylin/grail/data/rasmc/ATAC/20151020_5225/RASMC_ATAC_PDGF-JQ1_2H_B_merged.PE2.fastq.gz
/storage/cylin/grail/projects/rasmc_all/riesling/bams/RASMC_ATAC_PDGF_24H_REP1/	RASMC_ATAC_PDGF_24H_A	rn6	RASMC_ATAC_PDGF_24H_REP1			RASMC_ATAC_PDGF_24H_A_merged.bt2.srt.rmdup.macs14_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/ATAC/20151020_5220/RASMC_ATAC_PDGF_24H_A_merged.PE1.fastq.gz::/storage/cylin/grail/data/rasmc/ATAC/20151020_5220/RASMC_ATAC_PDGF_24H_A_merged.PE2.fastq.gz
/storage/cylin/grail/projects/rasmc_all/riesling/bams/RASMC_ATAC_PDGF_24H_REP2/	RASMC_ATAC_PDGF_24H_B	rn6	RASMC_ATAC_PDGF_24H_REP2			RASMC_ATAC_PDGF_24H_B_merged.bt2.srt.rmdup.macs14_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/ATAC/20151020_5221/RASMC_ATAC_PDGF_24H_B_merged.PE1.fastq.gz::/storage/cylin/grail/data/rasmc/ATAC/20151020_5221/RASMC_ATAC_PDGF_24H_B_merged.PE2.fastq.gz
/storage/cylin/grail/projects/rasmc_all/riesling/bams/RASMC_ATAC_PDGF_JQ1_24H_REP1/	RASMC_ATAC_PDGF-JQ1_24H_A	rn6	RASMC_ATAC_PDGF_JQ1_24H_REP1			RASMC_ATAC_PDGF-JQ1_24H_A_merged.bt2.srt.rmdup.macs14_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/ATAC/20151020_5222/RASMC_ATAC_PDGF-JQ1_24H_A_merged.PE1.fastq.gz::/storage/cylin/grail/data/rasmc/ATAC/20151020_5222/RASMC_ATAC_PDGF-JQ1_24H_A_merged.PE2.fastq.gz
/storage/cylin/grail/projects/rasmc_all/riesling/bams/RASMC_ATAC_PDGF_JQ1_24H_REP2/	RASMC_ATAC_PDGF-JQ1_24H_B	rn6	RASMC_ATAC_PDGF_JQ1_24H_REP2			RASMC_ATAC_PDGF-JQ1_24H_B_merged.bt2.srt.rmdup.macs14_peaks.bed	0,0,0	/storage/cylin/grail/data/rasmc/ATAC/20151020_5223/RASMC_ATAC_PDGF-JQ1_24H_B_merged.PE1.fastq.gz::/storage/cylin/grail/data/rasmc/ATAC/20151020_5223/RASMC_ATAC_PDGF-JQ1_24H_B_merged.PE2.fastq.gz
