DENSITY	LENGTH_OF_SEQ	SUBPEAK_LENGTH
0.365173288250211	432	1183
0.421951219512195	346	820
0.0964159515396265	191	1981
0.260364004044489	515	1978
0.347953216374269	357	1026
0.248770894788594	253	1017
0.30050505050505	476	1584
0.394508670520231	273	692
0.363153232949513	410	1129
0.142137096774194	141	992
0.184955141476881	268	1449
0.306818181818182	351	1144
0.315611814345992	374	1185
0.304566210045662	667	2190
0.155080213903743	203	1309
0.33764553686934	261	773
0.21618743343983	203	939
0.37123745819398	888	2392
0.328249818445897	452	1377
0.285641547861507	561	1964
0.216303470540759	268	1239
0.301398239254272	582	1931
0.365051903114187	422	1156
0.369522563767168	565	1529
0.373409669211196	587	1572
0.30374479889043	438	1442
0.337209302325581	319	946
0.254121863799283	709	2790
0.353073463268366	942	2668
0.144244779018941	297	2059
0.300902708124373	300	997
0.437402190923318	559	1278
0.253447143795141	386	1523
0	0	1157
0.23081499107674	776	3362
0.0516772438803264	57	1103
0.234239802224969	379	1618
0.34963768115942	386	1104
0.229708052614694	716	3117
0.254375	814	3200
0.357347204161248	1374	3845
0.248632883703974	682	2743
0.232446808510638	437	1880
0.391906873614191	707	1804
0.154822335025381	122	788
0.327787021630616	394	1202
0.377265238879736	458	1214
0.279228149829739	246	881
0.222975837219161	1052	4718
0.267006184066933	734	2749
0.275	308	1120
0.322448979591837	395	1225
0.180955296999388	591	3266
0.0837297811607992	88	1051
0.0779220779220779	84	1078
0.209459459459459	806	3848
0.30722433460076	404	1315
0.185696361355082	740	3985
0.159554730983302	172	1078
0.323554788610871	375	1159
0.0332167832167832	38	1144
0.262472885032538	242	922
0.148802017654477	118	793
0.210332103321033	114	542
0.229681978798587	520	2264
0.312286689419795	366	1172
0.154219793564056	254	1647
0.242894056847545	282	1161
0.259530791788856	177	682
0.40321141837645	452	1121
0.264771460423634	475	1794
0.158660844250364	218	1374
0.369127516778524	330	894
0.233571428571429	327	1400
0.406172839506173	329	810
0.181943487250172	264	1451
0.302567237163814	990	3272
0.26999238385377	709	2626
0.13947128532361	153	1097
0.33459595959596	265	792
0.399551066217733	356	891
0.181168831168831	558	3080
0.19327731092437	138	714
0.385300668151448	346	898
0.35102533172497	291	829
0.255908720456398	314	1227
0.107692307692308	91	845
0.25511811023622	324	1270
0.199764289923394	339	1697
0.313304721030043	292	932
0.281698938163648	451	1601
0.32168458781362	359	1116
0.303861788617886	299	984
0.314484126984127	317	1008
0.348924933987175	925	2651
0.289507772020725	447	1544
0.26231122783979	799	3046
0.0938337801608579	70	746
0.317148760330579	614	1936
0.0262828535669587	21	799
0.336374002280502	295	877
0.276568501920615	432	1562
0.0145137880986938	10	689
0.379353233830846	305	804
0.226332653655695	777	3433
0	0	865
0.380553227158424	454	1193
0.394824153948242	595	1507
0.408590308370044	371	908
0	0	850
0.0661921708185053	93	1405
0.219545767377839	638	2906
0.310344827586207	585	1885
0.317865429234339	274	862
0	0	719
0.238440616500453	263	1103
0.301813471502591	233	772
0.309107635694572	336	1087
0.0143979057591623	11	764
0.00763888888888889	11	1440
0.200402819738167	199	993
0.252845528455285	311	1230
0.220779220779221	187	847
0.27807486631016	416	1496
0.283138918345705	267	943
0.239485981308411	205	856
0.20809968847352	334	1605
0.478908188585608	386	806
0.235222794786299	776	3299
0.179863147605083	184	1023
0.309917355371901	225	726
0.31129476584022	339	1089
0.286536248561565	249	869
0.255936675461741	291	1137
0.364600326264274	447	1226
0.408719346049046	300	734
0.351242983159583	438	1247
0.268072289156627	623	2324
0.292411793136781	605	2069
0.329238329238329	402	1221
0.266479663394109	190	713
0.38860103626943	525	1351
0.284776902887139	434	1524
0.30952380952381	351	1134
0.311538461538462	891	2860
0.28955223880597	291	1005
0.279681274900398	351	1255
0.174565560821485	221	1266
0.144617032672737	270	1867
0.341609589041096	798	2336
0.0649350649350649	140	2156
0.267504488330341	447	1671
0.294066317626527	337	1146
0.305311290889905	868	2843
0.40495867768595	980	2420
0.268341708542714	267	995
0.291707002258793	904	3099
0.155555555555556	196	1260
0.273291925465839	220	805
0.276955602536998	262	946
0.244848484848485	404	1650
0.417783191230207	343	821
0.247111111111111	278	1125
0.088135593220339	52	590
0.0436117936117936	71	1628
0.302961275626424	532	1756
0.289875173370319	418	1442
0.35451197053407	385	1086
0.190214067278287	311	1635
0.0262172284644195	21	801
0.253944020356234	499	1965
0.0874524714828897	69	789
0.0747581354441513	85	1137
0.0700344431687715	61	871
