FREQ_SUM	NUM_REGIONS	MOTIF.KB	STD_DEV	log_vec
AHR	2.05672105672	5461	0.376619860231	0.0056690768272	3.30162329241143
ARNTL	1.92660550459	2708	0.71144959549	0.00804763596119	3.57350867387094
ATF4	4.63840104327	8061	0.575412609263	0.00714137859546	3.36735571546887
ATF6	0.747663551402	1148	0.651274870559	0.00777448720982	4.16702524242791
ATF7	2.03539823009	2199	0.925601741741	0.00900305059282	3.40016379524196
BCL6	25.3106390985	42990	0.588756434019	0.00712523034688	2.8773632349122
BHLHE40	2.54628857381	6498	0.391857275133	0.0059566443486	2.12787279602087
CAP1	4.20387677397	5933	0.70855836406	0.00810501961224	4.44416441379422
CEBPB	4	4225	0.94674556213	0.0092288380209	3.88871859678117
CEBPD	0.642201834862	1277	0.502898852672	0.00677381739962	2.99186152652255
CHD2	8.6706996752	17000	0.510041157365	0.006841190126	3.3291108508945
CREB3	3.26520578733	4670	0.69918753476	0.00782502205499	3.79094534083854
CREB3L2	0.894465894466	4484	0.199479459069	0.00421938337869	1.11491931439479
CTCF	34.3059735035	70303	0.487973109306	0.00680014741691	2.0349274423391
DBP	7.61126120078	11879	0.640732485965	0.00768595523277	2.76295044681641
DEAF1	4.33522231909	6775	0.63988521315	0.00728547132091	2.50747452283181
E2F3	13.5395916565	18437	0.73437064905	0.00790423044952	2.90604552123354
E2F6	10.8349139117	15927	0.68028592401	0.0078103205586	3.55940311644641
EGR2	12.7844925519	23644	0.540707687022	0.00678528711088	3.33563937024664
EGR3	4.37376048818	10493	0.416826502256	0.00602402230023	2.70719147944976
ELK3	1.92660550459	4557	0.422779351456	0.00621356210912	2.38120784768402
ERF	3.66972477064	6759	0.542939010304	0.007036770254	3.3391640668856
ESRRA	21.872192637	32852	0.665779637071	0.00754628545156	3.24618985661026
ETS1	20.2097026326	34328	0.588723567718	0.00723310920959	3.53347286366079
ETV4	1.83486238532	3715	0.493906429427	0.00671331310905	3.71796350714518
FOSL1	5.63636363636	8706	0.647411398617	0.00764437310533	3.92763646092385
FOSL2	6.5211038961	11313	0.576425695757	0.00720263052625	3.52539760986468
FOXC1	18.2009120742	37423	0.486356306929	0.00662055179324	2.6029898027064
FOXC2	11.9144637727	25062	0.475399559997	0.00650989893001	3.03863726429059
FOXJ2	19.3140206591	39648	0.487137324937	0.00649541517679	3.06885517398196
FOXO1	23.137050254	47681	0.485246749313	0.00656936953889	2.98321328810539
FOXP1	20.8712393037	41093	0.507902545535	0.00648718921633	2.51226980031522
GATA2	2.38938053097	5486	0.43554147484	0.00619304424111	2.82572033898481
GATA6	2.3275862069	5219	0.445983178175	0.00618449065886	2.83757044484887
GLIS2	11.8345388733	22043	0.536884220539	0.00681469738075	2.80131640427022
HEY2	0.183486238532	2421	0.0757894417729	0.00263579508995	0.368913603986209
HMGA2	5.52021357742	2867	1.92543201166	0.0128454340325	4.7951275534573
HNF1B	4.17436169443	8308	0.502450853928	0.00666206721759	3.51731127508983
HOXA2	5.61475390275	5212	1.07727434819	0.0097433265411	4.74067257996218
HSF2	8.30431490553	10620	0.781950556076	0.00832091984605	2.95186844581227
ID1	11.5335931543	12785	0.902119136041	0.00900645802602	4.20594272949176
IRF1	16.0358832353	26574	0.603442584305	0.00702662408127	3.72610530448501
IRF3	15.6446047095	24785	0.631212616887	0.00734514879245	3.229220756033
IRF7	10.0326607831	15312	0.655215568387	0.00760080330386	2.92426788708261
IRF9	2.35964912281	7600	0.310480147738	0.00520024223624	1.80246744675928
JUN	14.9385501545	17723	0.842890602859	0.00861952711046	3.38628786884191
JUNB	7.72823866165	10742	0.719441320206	0.00805705944181	3.17416125309399
JUND	19.640260562	31184	0.629818514686	0.00749217548148	3.54940577743616
KLF13	5.12820512821	5362	0.956397823239	0.0102640989867	4.12357252196334
KLF16	13.6071995959	24009	0.566754117036	0.00712511225765	3.53254364323862
KLF3	5.69157653228	12415	0.458443538646	0.00647208290133	3.80002406163712
MAFF	18.7689033311	24552	0.764455169888	0.00817448619782	4.45951694709013
MAFG	5.76315789474	10104	0.570383797975	0.00698339585944	2.38967667003872
MAFK	17.5378324498	28220	0.621468194535	0.00739510643079	3.11873913798888
MAZ	29.2785402201	46856	0.624862135482	0.00741483702273	4.13640980809805
MEF2D	3.42342342342	7307	0.468512853897	0.00647988124287	3.29913189652159
MEIS1	14.6513723606	18323	0.799616458039	0.00833958541681	4.21993310763292
MLX	0.275229357798	1867	0.147417974182	0.00367462280081	1.77244592249173
MNT	0.45871559633	2678	0.171290364574	0.0039604762286	1.94205210712552
MYC	1.46456882237	7977	0.183598949776	0.0040954307542	2.09346849437981
NFE2L2	5.93141945774	9171	0.646758200604	0.00754005361007	3.75195523217783
NFIA	2.54385964912	5447	0.467020313773	0.00638346193042	3.77114338275676
NFIL3	2.62010023183	4464	0.58694001609	0.00725863554308	3.44844990332635
NFIX	3.94736842105	6135	0.643417835542	0.00748506342668	3.47336104675064
NFKB2	6.43196395226	8073	0.796725374986	0.00845907249852	3.9230546945037
NOTCH1	6.16822429907	7428	0.830401763471	0.0087702949983	2.90131167672077
NR1D1	12.2604261726	14841	0.826118602018	0.00849775856046	2.95823180033501
NR2F2	10.756302521	20091	0.535379150914	0.00679397147687	2.38679282766326
NR2F6	4.42477876106	8474	0.522159400645	0.00677762097476	2.56087592576992
NR3C1	10.7234679792	15141	0.708240405466	0.00779466468863	3.05346267423761
OSR1	6	7853	0.76403922068	0.00811507468677	3.17760526020894
PBX1	4.5508439474	9980	0.455996387515	0.00636507038731	1.88029378424614
PRRX1	8.18190585643	7178	1.13985871502	0.0100660111381	5.26645363778163
PRRX2	5.82596979684	7045	0.826965194726	0.00850973840708	2.57426758873677
RARA	14.0661767765	27005	0.520873052268	0.00666641091817	2.24199060868677
RARG	11.7347283761	17823	0.658403656853	0.00750873132417	2.6709248743697
RELA	28.7998316601	40848	0.705048757835	0.00797373983137	3.13612868617781
RFX5	11.1907228192	25207	0.443952982077	0.00631773059969	2.08001761247227
RUNX1	6.45454545455	10573	0.610474364376	0.00742462056533	3.41805836484035
RXRA	14.0604701048	26860	0.523472453643	0.00712224652754	3.45969821609923
RXRB	5.21091445428	10534	0.494675759852	0.00659167929556	3.32976906785281
SF1	5.18518518519	9405	0.551322188749	0.00712350999538	3.42780397350465
SMAD3	15.9229346603	34633	0.459761922453	0.00634639875496	1.84583945799176
SMAD6	1.26126126126	2884	0.437330534418	0.0062616203373	3.44415318540497
SMAD7	7.38738738739	6002	1.23082095758	0.0104580041463	4.58414870954148
SOX12	11.6989054396	22810	0.512884938167	0.00667326240294	2.46419538363452
SOX4	10.8976958407	25263	0.43136982309	0.00609472800946	3.04004786976262
