FREQ_SUM	NUM_REGIONS	MOTIF.KB	STD_DEV	log_vec
ARNTL	1.92660550459	2708	0.71144959549	0.804763596119	4.21927576192471
ATF4	4.63840104327	8061	0.575412609263	0.714137859546	3.26734396082551
ATF7	2.03539823009	2199	0.925601741741	0.900305059282	4.05315045887447
BHLHE40	2.54628857381	6498	0.391857275133	0.59566443486	3.43408696308226
CEBPB	4	4225	0.94674556213	0.92288380209	3.43274896951059
CEBPD	0.642201834862	1277	0.502898852672	0.677381739962	2.64996057612613
DBP	7.61126120078	11879	0.640732485965	0.768595523277	2.83726665286619
EGR2	12.7844925519	23644	0.540707687022	0.678528711088	4.0541265875232
ESRRA	21.872192637	32852	0.665779637071	0.754628545156	3.3807865894866
ETS1	20.2097026326	34328	0.588723567718	0.723310920959	3.21918364712639
FOSL1	5.63636363636	8706	0.647411398617	0.764437310533	3.67317994849574
FOSL2	6.5211038961	11313	0.576425695757	0.720263052625	3.5124005254312
FOXO1	23.137050254	47681	0.485246749313	0.656936953889	2.39739766674907
ID1	11.5335931543	12785	0.902119136041	0.900645802602	2.92144376670587
IRF3	15.6446047095	24785	0.631212616887	0.734514879245	2.74135435066326
IRF7	10.0326607831	15312	0.655215568387	0.760080330386	2.54163103155078
IRF9	2.35964912281	7600	0.310480147738	0.520024223624	1.66403814695021
JUN	14.9385501545	17723	0.842890602859	0.861952711046	3.86860727696065
JUNB	7.72823866165	10742	0.719441320206	0.805705944181	3.74766752469563
JUND	19.640260562	31184	0.629818514686	0.749217548148	3.30268063968781
MAFF	18.7689033311	24552	0.764455169888	0.817448619782	3.23573483025561
MAFG	5.76315789474	10104	0.570383797975	0.698339585944	3.41030692321407
MAFK	17.5378324498	28220	0.621468194535	0.739510643079	3.14682566941232
MEIS1	14.6513723606	18323	0.799616458039	0.833958541681	3.97519064758111
MNT	0.45871559633	2678	0.171290364574	0.39604762286	2.1901697572432
MYC	1.46456882237	7977	0.183598949776	0.40954307542	2.10951150067479
NFE2L2	5.93141945774	9171	0.646758200604	0.754005361007	3.69148940258083
NFKB2	6.43196395226	8073	0.796725374986	0.845907249852	3.31505870051551
NR1D1	12.2604261726	14841	0.826118602018	0.849775856046	3.8358456138396
NR2F2	10.756302521	20091	0.535379150914	0.679397147687	3.20508760356344
NR2F6	4.42477876106	8474	0.522159400645	0.677762097476	3.08898502823842
PBX1	4.5508439474	9980	0.455996387515	0.636507038731	2.35674049090789
RARA	14.0661767765	27005	0.520873052268	0.666641091817	3.08384203183012
RARG	11.7347283761	17823	0.658403656853	0.750873132417	3.39955349868079
RELA	28.7998316601	40848	0.705048757835	0.797373983137	3.19442843164346
RXRA	14.0604701048	26860	0.523472453643	0.712224652754	3.1569584394573
RXRB	5.21091445428	10534	0.494675759852	0.659167929556	2.83450048324916
SMAD3	15.9229346603	34633	0.459761922453	0.634639875496	3.38921577258472
SMAD6	1.26126126126	2884	0.437330534418	0.62616203373	3.44008285985705
SMAD7	7.38738738739	6002	1.23082095758	1.04580041463	3.60634006830728
SP1	55.9619164161	94471	0.59237137763	0.71253274463	3.59912669138164
SREBF1	5.04587155963	6763	0.7460995948	0.838939284939	4.03225701970607
STAT3	60.2558229633	91045	0.661824624782	0.770960112431	3.29754368492576
STAT6	21.7086627951	28886	0.751528865025	0.830180639807	3.12212676705937
TCF3	19.4932524972	38056	0.512225470286	0.700162590024	2.52474541441158
TEAD1	11.9468051835	16583	0.720424843724	0.812240817719	3.15979040331013
TEAD3	6.75119119594	11513	0.58639722018	0.719931681674	2.87916249625103
THRA	8.11965811966	3214	2.52634042304	1.46318132053	5.55344675814484
THRB	14.2060150336	10396	1.36648855653	1.07317916376	4.63836314863168
YY1	60.2037210005	62884	0.957377409206	0.916962030997	4.28890844100495
