NM_031616	Zranb2
NM_001047855	Dtx4
NM_053550	Pip4k2b
NM_031057	Aldh6a1
NM_001271189	Nt5c
NM_031076	Pcm1
NM_001011958	Raly
NM_175764	Kdm3a
NM_053570	Cxadr
NM_001270865	Esd
NM_001173527	Ndnl2
NM_012848	Fth1
NM_053995	Bdh1
NM_001009668	Etfa
NM_001170455	Tada2b
NM_001108718	Alkbh1
NM_001286966	Jund
NM_139060	Csnk1d
NM_001025014	Tmem50b
NM_001012182	Sike1
NM_001008861	Usp11
NM_031981	Nsfl1c
NM_001025125	Sumf2
NM_199386	Atp6v1d
NM_001080153	Tmub1
NM_001100568	Fbxl3
NM_017041	Ppp3ca
NM_138873	Nbn
NM_001007731	Golga7
NM_030860	Mef2d
NM_001004252	Farsb
NM_001025403	Rbms2
NM_181090	Slc38a2
NM_001013434	Rras2
NM_001009685	Drg1
NM_031104	Rpl22
NM_138840	Tgoln2
NM_001109134	RGD1559896
NM_001134862	Pbx1
NM_001106294	Ndufab1
NM_001164718	Pfdn6
NM_001108978	Pik3cd
NM_001109198	Rpl12
NM_001013112	Hibch
NM_001126120	Adh5
NM_001160228	Adam19
NM_001008333	Amn1
NM_001017378	Kat8
NM_001134861	Cerk
NM_001106476	Metap1
NM_001107117	Cers4
NM_001107874	Xpc
NM_133578	Dusp5
NM_001009687	Riok2
NM_001107179	Lmod1
NM_001039002	Fam43a
NM_012815	Gclc
NM_053990	Ptpn2
NM_130403	Ppp1r14a
NM_001107861	Kbtbd2
NM_130755	Cs
NM_001100532	Anapc2
NM_019288	App
NM_019372	Pdp1
NM_023092	Myo1c
NM_001010920	Cndp2
NM_001191816	Fam120a
NM_001025719	Pxdc1
NM_001004198	Tbp
NM_013043	Tsc22d1
NM_001192018	Glb1l2
NM_031099	Rpl5
NM_172334	Fibp
NM_001009619	Nubp1
NM_145778	Tubg1
NM_017180	Phlda1
NM_001106059	Thoc3
NM_053515	Slc25a4
NM_001035001	Tmem69
NM_001013203	Trim44
NM_024392	Hsd17b4
NM_001011983	Coq6
NM_001009455	Armc5
NM_001276456	Chmp4bl1
NM_001108155	Kif23
NM_001105816	Poldip2
NM_001009625	Ifi35
NM_031331	Psmd4
NM_053326	Pdlim5
NM_152847	Snx27
NM_001006965	Mrpl34
NM_001044244	Tomm34
NM_031101	Rpl13
NM_001193292	Med12
NM_001031653	Polr3d
NM_001013062	Thbs1
NM_001007629	Nutf2
NM_022501	Crip2
NM_031514	Jak2
NM_001013206	Mrps26
NM_001012275	Arih2
NM_001191593	Nsun5
NM_001006995	Acat2
NM_001010945	Tmem120a
NM_201991	Gpn3
NM_001109398	Mthfd2
NM_001100672	Tspan6
NM_001107080	Dgcr6
NM_001108265	Nagpa
NM_001007235	Itpr1
NM_001007741	Isg20l2
NM_001107141	Pptc7
NM_001108809	Atg16l1
NM_001106804	Tmem205
NM_012649	Sdc4
NM_001047871	Ifrd2
NM_031041	Gtf2b
NM_001107712	Cttnbp2nl
NM_001037653	Fubp1
NM_138888	Phf5a
NM_001006996	Ddx18
NM_001034126	Nit2
NM_145082	Cep104
NM_001008381	Ube2f
NM_001191629	Ints4
NM_001108984	Rbm25
NM_001106070	Map1s
NM_001107678	Dhx36
NM_001109212	Uckl1
NM_001014071	Errfi1
NM_001107063	Cdc42ep4
NM_017348	Slc6a8
NM_001031627	Kif1bp
NM_001108566	Ostc
NM_001006954	Coasy
NM_173133	Phax
NM_212496	Dhx16
NM_001013135	Sdccag3
NM_001106761	Brf1
NM_001048043	Tmem230
NM_001013189	Pqlc1
NM_022269	Cd55
NM_001107381	Spire1
NM_001308255	Ahr
NM_001109883	Abcf1
NM_001025022	Lurap1l
NM_001025726	Srpk1
NM_001080783	Ppip5k1
NM_001135667	Wdr4
NM_001109673	Ccdc94
NM_001014225	Cluap1
NM_012821	Adcy6
NM_001083336	Stk38l
NM_001024793	Cdc27
NM_017040	Ppp2cb
NM_001013983	Mlec
NM_001024970	Sde2
NM_001127580	Oxct1
NM_139098	Ddx46
NM_001008379	Prr13
NM_001002851	Nenf
NM_001191726	Hs6st2
NM_001127296	Pwwp2a
NM_181768	Acad9
NM_001305241	Dpp9
NM_001025728	Smarcb1
NM_001108850	Trappc5
NM_001009682	Oasl2
NM_019331	Furin
NM_001012038	Mtmr3
NM_001110336	Vegfa
NM_001024760	Ift46
NM_024404	Hnrnpd
NM_001107552	Fbxl19
NM_001105726	Ptpmt1
NM_001108064	Wiz
NM_001108876	Lsm1
NM_001106805	Rgl3
NM_031599	Eif2ak3
NM_001044241	Atl3
NM_001011951	Sf3b4
NM_001106316	Ptdss2
NM_001012235	Impact
NM_001130540	Ext1
NM_024360	Hes1
NM_001012179	Fxr1
NM_053654	Pafah1b3
NM_001115024	Lman2
NM_001033060	Rpain
NM_019240	Gjb3
NM_001039034	Wdr5
NM_053414	Ddx1
NM_080887	Txnl1
NM_001108707	Twistnb
NM_001106143	Tcof1
NM_001108009	Rasgrp3
NM_001106715	Pum2
NM_001134981	Trip4
NM_001271205	Sox4
NM_001034108	March2
NM_001191680	Mfsd10
NM_001105992	Xpr1
NM_022933	Chd8
NM_053882	Ecm1
NM_001108734	Mob3a
NM_001105755	Pkn2
NM_019384	Scaf1
NM_001107038	Stxbp4
NM_001047857	Ube2e3
NM_001134503	Camsap2
NM_022509	Smn1
NM_199114	Fgfrl1
