H3K_0H	H3K_2H+PDGF	H3K_2H+PDGF+JQ1	H3K_24H+PDGF	H3K_2H+PDGF+JQ1	Log2(H3K_2H/H3K_0H)	Log2(H3K_24H/H3K_0H)	Log2(H3K_24H/H3K_2H)
A3galt2	33366.78	61414	73905.46	41683.29	43080.25	0.88	0.32	-0.56
AA926063	11860.44	21404.42	24238.22	15321.59	12091.97	0.85	0.37	-0.48
Aaas	29079.81	23606.27	26045.32	31015.69	33289.46	-0.3	0.09	0.39
Aacs	8351.22	11819.77	11846.22	10062.38	5309.11	0.5	0.27	-0.23
Aaed1	10917.64	14567.74	16286.25	13962.87	18936.65	0.42	0.35	-0.06
Aagab	14279.59	14388.62	17846.51	16621.2	20096.59	0.01	0.22	0.21
Aak1	13463.93	16225.47	19249.23	15912.74	19642.78	0.27	0.24	-0.03
Aamdc	7947.11	8969.83	8376.31	7262.9	5426.05	0.17	-0.13	-0.3
Aamp	35798.15	40569.5	46220.79	35331.13	40486.33	0.18	-0.02	-0.2
Aar2	4109.2	3773.96	3454.38	2920.63	3314.33	-0.12	-0.49	-0.37
Aars	14395.99	19060.55	23605.83	16431.48	15734.85	0.4	0.19	-0.21
Aars2	3082.25	4555.42	4672.05	4421.88	2618.67	0.56	0.52	-0.04
Aarsd1	17977.28	18679.76	23032.72	21007.49	19834	0.06	0.22	0.17
Aasdhppt	3332.71	4628.25	5417.16	3414.56	3068.79	0.47	0.04	-0.44
Aass	9869.91	7010.25	8511.83	9353.85	8896.16	-0.49	-0.08	0.42
Aatf	2550.38	3838.5	4723.24	2367.98	2255.11	0.59	-0.11	-0.7
Abca2	11985.88	15899.94	17058.67	20280.27	12601.65	0.41	0.76	0.35
Abca5	1292.6	1725.16	2815.43	1179.55	1042.67	0.42	-0.13	-0.55
Abca7	29441.38	35109.98	38684.6	36425.22	22903.83	0.25	0.31	0.05
Abca8a	981.68	147.53	136.64	302.7	604.29	-2.73	-1.7	1.04
Abcb10	16050.32	12895.55	12347.61	14594.55	9148.4	-0.32	-0.14	0.18
Abcb1b	5049.35	3182.66	2648.64	5003.76	3061.61	-0.67	-0.01	0.65
Abcb6	6896.2	7462.89	8103.11	8017	7095.83	0.11	0.22	0.1
Abcb7	960.36	1065.69	1145.35	663.9	1064.03	0.15	-0.53	-0.68
Abcb8	10045.08	20249.59	24554.76	15869.95	12303.82	1.01	0.66	-0.35
Abcc1	6965.63	6882.51	7186.69	6543.23	9127.56	-0.02	-0.09	-0.07
Abcc10	20221.94	22166.16	22948.64	22554.55	14861.13	0.13	0.16	0.03
Abcc3	13042.07	12010.66	12583.03	13932.37	11589.77	-0.12	0.1	0.21
Abcc4	3681.55	4839.11	5321.18	5877.98	5816.84	0.39	0.68	0.28
Abcc5	2477.86	3850.63	5536.73	3270.05	2539.99	0.64	0.4	-0.24
Abcc9	6318.78	5197.06	4657.23	6315.68	7341.68	-0.28	0	0.28
Abcd1	6787.99	8737.94	7919.73	8920.54	5102.16	0.36	0.39	0.03
Abcd3	4543.81	6128.77	5642.74	4732.78	4384.1	0.43	0.06	-0.37
Abcd4	5831.64	5958.56	6454.25	7696.56	4875.76	0.03	0.4	0.37
Abce1	4567.46	8109.57	10417.08	4514.57	4162.15	0.83	-0.02	-0.85
Abcf1	15408.18	17333.49	15958.09	14252.15	18339.67	0.17	-0.11	-0.28
Abcf2	19500.72	25681.21	27854.72	26101.47	16303.91	0.4	0.42	0.02
Abcf3	8575.63	12899.95	14034.27	8716.03	7080.15	0.59	0.02	-0.57
Abcg3l1	2437.77	2609.4	2838.58	2201.36	2555.95	0.1	-0.15	-0.25
Abcg3l2	2437.77	2609.4	2838.58	2201.36	2555.95	0.1	-0.15	-0.25
Abcg3l3	2223.44	2952.55	3042.6	3273.29	3080.53	0.41	0.56	0.15
Abcg3l4	2437.77	2609.4	2838.58	2201.36	2555.95	0.1	-0.15	-0.25
Abhd1	17691.42	18486.14	18474.19	20327.57	17932.21	0.06	0.2	0.14
Abhd11	5275.46	8629.16	9792.9	8635.62	4936.81	0.71	0.71	0
Abhd12	6006.33	5420.12	5760	5647.01	4305.95	-0.15	-0.09	0.06
Abhd13	4462.1	6656.05	6730.84	4073.89	3843.14	0.58	-0.13	-0.71
Abhd14a	12480.45	22691.95	23866.1	20414.6	17034.7	0.86	0.71	-0.15
Abhd14b	11065.2	21050.51	22000.72	18801.44	16191.56	0.93	0.76	-0.16
Abhd16a	11679.37	17712.83	21915.48	14836.04	14832.78	0.6	0.35	-0.26
Abhd17a	12810.76	17178.39	16466.26	16476.07	9451.24	0.42	0.36	-0.06
Abhd17b	15537.74	13735.04	13291.52	11494.26	13776.39	-0.18	-0.43	-0.26
Abhd17c	22878.72	13104.97	14857.18	16119.62	14464.9	-0.8	-0.51	0.3
Abhd2	22736.32	35490.72	46396.85	27075.14	27291.94	0.64	0.25	-0.39
Abhd3	1696	2189.8	1820.96	1972.92	1684.9	0.37	0.22	-0.15
Abhd4	19367.96	25463.42	26392.93	21785.71	22072.66	0.39	0.17	-0.23
Abhd5	10287.29	16610.17	17927.95	14085.86	16458.5	0.69	0.45	-0.24
Abhd6	18228.36	21108.49	17856.42	23722.36	20857.9	0.21	0.38	0.17
Abhd8	14410.62	21488.9	26074	18937.31	14211.23	0.58	0.39	-0.18
Abi1	14599.57	14451.71	14409.48	12259.48	13357.43	-0.01	-0.25	-0.24
Abl1	14825.83	13698.1	14903.56	14468.75	14095.87	-0.11	-0.04	0.08
Abl2	5258.52	9996.53	13804.38	6023.24	5775.22	0.93	0.2	-0.73
Abracl	5314.37	5684.11	6564.18	5518.31	4955.47	0.1	0.05	-0.04
Abt1	10901.48	7547.94	7178	9400.21	10134.07	-0.53	-0.21	0.32
Abtb1	25168.28	16962.23	19825.39	28591.89	16414.86	-0.57	0.18	0.75
Abtb2	7550.92	8345.32	9032.83	7333.83	9353.87	0.14	-0.04	-0.19
